altitude,density,temperature,gasconstant,gamma
0,0.015421,229.699,190.5362337,1.321904074
7352.94,0.00781367,202.3,190.5363333,1.341039617
14705.9,0.00426998,189.052,190.5122629,1.351700617
22058.8,0.00221647,176.098,190.4825288,1.363212349
29411.8,0.00106858,161.793,190.4743138,1.377804773
36764.7,0.000495579,148.085,190.4775543,1.394039224
44117.6,0.000229389,143.506,190.495312,1.399950948
51470.6,0.000108106,144.655,190.5367233,1.398308014
58823.5,5.19E-05,153.904,190.6252042,1.386800378
66176.5,2.31E-05,153.993,190.6930517,1.386848444
73529.4,9.67E-06,148.656,190.8608216,1.393865153
80882.4,3.81E-06,139.381,191.371183,1.406906235
88235.3,1.47E-06,131.199,192.708889,1.420447706
95588.2,5.35E-07,132.15,195.30164,1.421843891
102941,1.96E-07,124.871,199.5186826,1.435571046
110294,7.62E-08,116.333,204.4362424,1.450947951
117647,2.72E-08,118.115,210.2459222,1.449210714
125000,9.08E-09,138.186,217.0941908,1.42669996
132353,3.15E-09,160.974,224.5878322,1.410350614
139706,1.24E-09,176.526,232.7779861,1.405471563
147059,5.33E-10,186.01,241.9057565,1.407516829
154412,2.46E-10,191.906,252.0832232,1.413525213
161765,1.19E-10,195.588,263.3888416,1.42216708
169118,6.05E-11,197.333,275.9398876,1.433422663
176471,3.19E-11,198.558,289.5167898,1.446183228
183824,1.79E-11,199.301,304.3041405,1.460379199
191176,1.04E-11,199.699,319.6404263,1.476072261
198529,6.09E-12,200.002,336.3827223,1.493014897
205882,3.91E-12,200.148,352.8937326,1.511087418
213235,2.45E-12,200.266,370.8983107,1.530543155
220588,1.70E-12,200.334,388.4381243,1.551115307
227941,1.15E-12,200.378,406.9188012,1.573212912
235294,8.30E-13,200.415,426.0371359,1.597190111
242647,6.11E-13,200.43,444.591553,1.623342102
250000,4.38E-13,200.446,464.8359272,1.651857791
